time,flux,flux_err,bge,quality,bgv,fdv,fkv,fsv,ife1,ife2,ife3,ifl1,ifl2,ifl3,ire1,ire2,ire3,irm1,irm2,irm3,irq1,irq2,irq3,rstfc,tmid_utc,xic,yic,ccdtemp,ntemps,bjdcorr,tfa1,tfa2,tfa3,pca1,pca2,pca3
2459088.3265477894,7.8827,nan,0.28,G,-0.04,0.0508422324,-0.00469160211,1.10930465,65.72,80.48,88.67,22545.99,33808.26,41034.12,0.00316,0.00258,0.00235,7.8827,7.44282,7.23252,G,G,G,tess2020239193914-s0029-2-2-0193_cal_img_bkgdsub,2459088.322386,1238.19118,535.662955,-80.1534161111111,9.0,0.0033610640850939037,7.8844397381360265,7.4416235552705245,7.231418294433389,7.883606391720315,7.441271202005323,7.232036871432938
2459088.333492464,7.88344,nan,0.32,G,0.08,0.0532831512,-0.00482752827,1.10474609,65.7,80.46,88.66,22530.76,33785.71,41019.15,0.00317,0.00259,0.00235,7.88344,7.44355,7.23291,G,G,G,tess2020239194914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3293305,1238.19072,535.65817,-80.156318,10.0,0.00336123841378911,7.884442109703033,7.441059873622891,7.23200967321078,7.884294943762459,7.44193603141564,7.232316986602569
2459088.3404370383,7.88204,nan,0.33,G,-0.05,0.0542764736,-0.00577494827,1.10784568,65.74,80.5,88.7,22559.88,33824.16,41056.33,0.00316,0.00258,0.00235,7.88204,7.44231,7.23193,G,G,G,tess2020239195914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3362749,1238.18988,535.660028,-80.15377,6.0,0.0033614126930920597,7.883957775861438,7.440052922198312,7.231567316820544,7.8829466171791855,7.440770653589424,7.231449302312706
2459088.3473816123,7.883,nan,0.27,G,-0.01,0.0520274517,-0.00457200528,1.10946428,65.71,80.47,88.66,22539.89,33799.97,41024.86,0.00317,0.00258,0.00235,7.883,7.44309,7.23276,G,G,G,tess2020239200914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3432193,1238.19063,535.662529,-80.1547255,10.0,0.0033615869255260353,7.88377024562952,7.441733273748466,7.232119862019646,7.883887961402548,7.441533620979498,7.2322398450326775
2459088.354326287,7.88238,nan,0.32,G,0.05,0.0555336081,-0.00641575715,1.10257436,65.73,80.48,88.66,22552.64,33802.76,41023.66,0.00316,0.00258,0.00235,7.88238,7.443,7.23279,G,G,G,tess2020239201914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3501638,1238.19068,535.658757,-80.15306222222222,9.0,0.0033617611136114176,7.8834006021933964,7.441727138685405,7.231664299733842,7.8832418379729345,7.441414601026809,7.232214650416939
2459088.361270861,7.88159,nan,0.32,G,-0.09,0.0539749785,-0.00600458465,1.10393404,65.76,80.51,88.7,22569.1,33831.37,41058.94,0.00316,0.00258,0.00235,7.88159,7.44208,7.23186,G,G,G,tess2020239202914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3571082,1238.19105,535.65998,-80.14603499999998,7.0,0.0033619352523003763,7.8831021130435435,7.440201555012816,7.230767577163029,7.882512109853309,7.440577070124161,7.231413676415166
2459088.368215535,7.88252,nan,0.33,G,0.01,0.0532899391,-0.00622353893,1.10617748,65.73,80.49,88.68,22549.88,33812.67,41041.78,0.00316,0.00258,0.00235,7.88252,7.44268,7.23231,G,G,G,tess2020239203914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3640527,1238.19156,535.661579,-80.15217750000001,8.0,0.0033621093466236797,7.883360227176904,7.440159055177905,7.231629259737356,7.883397026086692,7.441125343933499,7.231775104035781
2459088.375160109,7.88182,nan,0.26,G,-0.03,0.0534207111,-0.00719569837,1.10419271,65.75,80.5,88.7,22564.43,33827.78,41060.5,0.00316,0.00258,0.00235,7.88182,7.44219,7.23182,G,G,G,tess2020239204914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3709971,1238.19118,535.660846,-80.14708150000001,10.0,0.003362283391571047,7.883366316291337,7.440495531708396,7.231354202948868,7.882711755652647,7.440662020242247,7.231324069087246
2459088.382104783,7.88194,nan,0.32,G,-0.11,0.0531791025,-0.0046198462,1.10960035,65.75,80.51,88.7,22561.81,33830.61,41065.07,0.00316,0.00258,0.00235,7.88194,7.4421,7.2317,G,G,G,tess2020239205914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3779416,1238.19145,535.663196,-80.1464445,10.0,0.0033624573921355112,7.8826881640434365,7.441350524120282,7.231080697173411,7.882864287792774,7.44062079618815,7.231278622944032
2459088.389049357,7.88156,nan,0.31,G,-0.03,0.0560311719,-0.00591625726,1.10385188,65.76,80.52,88.72,22569.7,33844.05,41078.64,0.00316,0.00258,0.00234,7.88156,7.44167,7.23134,G,G,G,tess2020239210914-s0029-2-2-0193_cal_img_bkgdsub,2459088.384886,1238.19214,535.661329,-80.14899249999998,8.0,0.0033626313433096143,7.883379769172127,7.4405069569327456,7.23116096492241,7.882451901035304,7.4401506097758965,7.230848564443354
